"Title","PMID","cell_name","Cell_Type","Marker_Count"
"A molecular cell atlas of the human lung from single cell RNA sequencing",33208946,"B cell","B cell",162
"A molecular cell atlas of the human lung from single cell RNA sequencing",33208946,"Plasma cell","B cell",200
"A molecular cell atlas of the human lung from single cell RNA sequencing",33208946,"B cell","B cell",200
"A molecular cell atlas of the human lung from single cell RNA sequencing",33208946,"Plasma","B cell",200
"A pan-cancer single-cell RNA-seq atlas of intratumoral B cells",39406187,"Resting Memory B cells","B cell",4
"A pan-cancer single-cell RNA-seq atlas of intratumoral B cells",39406187,"Activated B cells","B cell",102
"A pan-cancer single-cell RNA-seq atlas of intratumoral B cells",39406187,"Conventional Plasma cells","B cell",200
"A pan-cancer single-cell RNA-seq atlas of intratumoral B cells",39406187,"Naive B cells","B cell",61
"A pan-cancer single-cell RNA-seq atlas of intratumoral B cells",39406187,"Stressed Plasma cells","B cell",200
"A pan-cancer single-cell RNA-seq atlas of intratumoral B cells",39406187,"Atypical Memory B cells","B cell",200
"A pan-cancer single-cell RNA-seq atlas of intratumoral B cells",39406187,"IGKC-high Plasma/Plasmablasts","B cell",12
"A pan-cancer single-cell RNA-seq atlas of intratumoral B cells",39406187,"GC B cells","B cell",200
"A pan-cancer single-cell RNA-seq atlas of intratumoral B cells",39406187,"MT1X-high Plasma/Plasmablasts","B cell",79
"Integrated analysis of single-cell and bulk RNA-sequencing identifies a signature based on T-cell marker genes to predict prognosis and therapeutic response in lung squamous cell carcinoma",36311764,"B_cells","B cell",10
"Signatures of plasticity, metastasis, and immunosuppression in an atlas of human small cell lung cancer",34653364,"B cell","B cell",3
"Signatures of plasticity, metastasis, and immunosuppression in an atlas of human small cell lung cancer",34653364,"Plasma cell","B cell",4
"A cell atlas of the human fallopian tube throughout the menstrual cycle and menopause",39753552,"B/ plasma cells subtype 1","B cell",100
"A cell atlas of the human fallopian tube throughout the menstrual cycle and menopause",39753552,"B/ plasma cells subtype 2","B cell",99
"Pan-cancer atlas of intratumour heterogeneity",37316583,"B cells/Plasma","B cell",50
"Pan-cancer atlas of intratumour heterogeneity",37316583,"B cells/MHC-II","B cell",49
"Pan-cancer atlas of intratumour heterogeneity",37316583,"B cells/Cell-cycle","B cell",47
"Pan-cancer atlas of intratumour heterogeneity",37316583,"B cells/Stress","B cell",50
"Pan-cancer atlas of intratumour heterogeneity",37316583,"B cells/Memory","B cell",50
"Pan-cancer atlas of intratumour heterogeneity",37316583,"B cells/Metabolism/MYC","B cell",48
"Pan-cancer atlas of intratumour heterogeneity",37316583,"B cells/Germinal Center","B cell",50
"Pan-cancer atlas of intratumour heterogeneity",37316583,"B cells/Interferon","B cell",50
"Pan-cancer atlas of intratumour heterogeneity",37316583,"B cells/Progenitor","B cell",49
"Pan-cancer atlas of intratumour heterogeneity",37316583,"B cells/B-cells1","B cell",50
"Pan-cancer atlas of intratumour heterogeneity",37316583,"B cells/Respiration","B cell",49
"Pan-cancer atlas of intratumour heterogeneity",37316583,"B cells/HSP/Stress","B cell",49
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"B cell Clusters _Cluster1","B cell",187
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"B cell Clusters _Cluster2","B cell",200
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"B cell Clusters _Cluster3","B cell",200
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"B cell Clusters _Cluster4","B cell",200
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"B cell Clusters _Cluster5","B cell",72
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"B cell Clusters _Cluster6","B cell",15
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"B cell Clusters _Cluster7","B cell",75
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"B cell Clusters _Cluster8","B cell",40
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"B cell Clusters _Cluster9","B cell",9
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"B cell Clusters _Cluster10","B cell",8
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"B cell Clusters _Cluster11","B cell",4
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Bcell2/Plasmacell","B cell",71
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Bcell3/FCRL4+memoryBcell","B cell",2
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Bcell4/Bcell-3","B cell",5
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Bcell5/GerminalcenterBcell","B cell",22
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Bcell6/Bcell-4","B cell",16
"Single-cell RNA sequencing reveals distinct tumor microenvironmental patterns in lung adenocarcinoma",34663877,"B_cells","B cell",89
"Single-cell RNA sequencing reveals distinct tumor microenvironmental patterns in lung adenocarcinoma",34663877,"Plasma","B cell",92
"Single-cell RNA sequencing demonstrates the molecular and cellular reprogramming of metastatic lung adenocarcinoma",32385277,"B lymphocytes/GC B cells in the DZ","B cell",4
"Single-cell RNA sequencing demonstrates the molecular and cellular reprogramming of metastatic lung adenocarcinoma",32385277,"B lymphocytes/GC B cells in the LZ","B cell",2
"Single-cell RNA sequencing demonstrates the molecular and cellular reprogramming of metastatic lung adenocarcinoma",32385277,"B lymphocytes/GrB-secreting cells","B cell",1
"Single-cell RNA sequencing demonstrates the molecular and cellular reprogramming of metastatic lung adenocarcinoma",32385277,"B lymphocytes/Follicular B cells","B cell",2
"Single-cell RNA sequencing demonstrates the molecular and cellular reprogramming of metastatic lung adenocarcinoma",32385277,"B lymphocytes/MALT B cells","B cell",2
"Single-cell RNA sequencing demonstrates the molecular and cellular reprogramming of metastatic lung adenocarcinoma",32385277,"B lymphocytes/Plasma cells","B cell",1
"A pan-cancer blueprint of the heterogeneous tumor microenvironment revealed by single-cell profiling",32561858,"B-cell/C1_CD27-/IGHD+","B cell",39
"A pan-cancer blueprint of the heterogeneous tumor microenvironment revealed by single-cell profiling",32561858,"B-cell/C2_CD27+/IGHM+","B cell",40
"A pan-cancer blueprint of the heterogeneous tumor microenvironment revealed by single-cell profiling",32561858,"B-cell/C3_CD27+/IGHM-","B cell",37
"A pan-cancer blueprint of the heterogeneous tumor microenvironment revealed by single-cell profiling",32561858,"B-cell/C4_CD27+/CD38+","B cell",38
"A pan-cancer blueprint of the heterogeneous tumor microenvironment revealed by single-cell profiling",32561858,"B-cell/C5_IGHG1+/PRDM1high","B cell",40
