"Title","PMID","cell_name","Cell_Type","Marker_Count"
"A molecular cell atlas of the human lung from single cell RNA sequencing",33208946,"CD8+ Memory/Effector T","T cell",145
"A molecular cell atlas of the human lung from single cell RNA sequencing",33208946,"CD8+ Naive T","T cell",174
"A molecular cell atlas of the human lung from single cell RNA sequencing",33208946,"CD8+ Memory/Effector T","T cell",200
"A molecular cell atlas of the human lung from single cell RNA sequencing",33208946,"CD8+ Naive T","T cell",200
"Integrated analysis of single-cell and bulk RNA-sequencing identifies a signature based on T-cell marker genes to predict prognosis and therapeutic response in lung squamous cell carcinoma",36311764,"CD8+_T_cells","T cell",1
"Signatures of plasticity, metastasis, and immunosuppression in an atlas of human small cell lung cancer",34653364,"CD8+ T-cells","T cell",4
"Signatures of plasticity, metastasis, and immunosuppression in an atlas of human small cell lung cancer",34653364,"CD8+ T exhaustion","T cell",5
"Signatures of plasticity, metastasis, and immunosuppression in an atlas of human small cell lung cancer",34653364,"CD8+ T memory-like","T cell",5
"Signatures of plasticity, metastasis, and immunosuppression in an atlas of human small cell lung cancer",34653364,"CD8+ T effector-like","T cell",7
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"CD8+ Clusters _Cluster1","T cell",200
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"CD8+ Clusters _Cluster2","T cell",76
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"CD8+ Clusters _Cluster3","T cell",44
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"CD8+ Clusters _Cluster4","T cell",60
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"CD8+ Clusters _Cluster5","T cell",2
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"CD8+ Clusters _Cluster6","T cell",13
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"CD8+ Clusters _Cluster7","T cell",22
"Immune Landscape of Viral- and Carcinogen-Driven Head and Neck Cancer",31924475,"CD8+ Clusters _Cluster8","T cell",26
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Tcell1/CD8+T-1","T cell",3
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Tcell5/DysfunctionalCD8+T","T cell",9
"Single-cell transcriptomics reveals regulators underlying immune cell diversity and immune subtypes associated with prognosis in nasopharyngeal carcinoma",32686767,"Tcell8/CD8+T-3","T cell",7
"Single-cell RNA sequencing demonstrates the molecular and cellular reprogramming of metastatic lung adenocarcinoma",32385277,"CD8+ T cells/cell state 1","T cell",200
"Single-cell RNA sequencing demonstrates the molecular and cellular reprogramming of metastatic lung adenocarcinoma",32385277,"CD8+ T cells/cell state 2","T cell",146
"Single-cell RNA sequencing demonstrates the molecular and cellular reprogramming of metastatic lung adenocarcinoma",32385277,"CD8+ T cells/cell state 3","T cell",200
"Single-cell RNA sequencing demonstrates the molecular and cellular reprogramming of metastatic lung adenocarcinoma",32385277,"T/NK cells/CD8+ T","T cell",2
"Decoding the multicellular ecosystem of lung adenocarcinoma manifested as pulmonary subsolid nodules by single-cell RNA sequencing",33571124,"GZMK+  Effector CD8+  T","T cell",3
"Decoding the multicellular ecosystem of lung adenocarcinoma manifested as pulmonary subsolid nodules by single-cell RNA sequencing",33571124,"ZNF683+  Effector CD8+
T","T cell",4
