"","ImmuneSigR_B cell_score","ImmuneSigR_B cell.1_score","ImmuneSigR_Activated B cells_score","ImmuneSigR_Naive B cells_score","ImmuneSigR_Atypical Memory B cells_score","ImmuneSigR_B cells/MHC-II_score","ImmuneSigR_B cells/Stress_score","ImmuneSigR_B cells/Germinal Center_score","ImmuneSigR_B cells/Progenitor_score","ImmuneSigR_B cells/B-cells1_score","ImmuneSigR_B cell Clusters _Cluster1_score","ImmuneSigR_B cell Clusters _Cluster2_score","ImmuneSigR_B cell Clusters _Cluster3_score","ImmuneSigR_B cell Clusters _Cluster4_score","ImmuneSigR_B cell Clusters _Cluster6_score","ImmuneSigR_B cell Clusters _Cluster7_score","ImmuneSigR_B cells_score","ImmuneSigR_B cell.3_score","ImmuneSigR_B cell.4_score","ImmuneSigR_B cell.5_score","ImmuneSigR_B Cells_score","ImmuneSigR_B cells_B0_TNFRSF13B_score","ImmuneSigR_B cells_B1_S1PR1_score","ImmuneSigR_B cells_B3_NEIL1_score","ImmuneSigR_B cells Naive_score","ImmuneSigR_B cell/BC_GPR183_score","ImmuneSigR_MBM_sc_bcells_Activated B cells_score","ImmuneSigR_MBM_sc_bcells_Naïve B cells_score","ImmuneSigR_B CELL_score","ImmuneSigR_G1- B cells_score","ImmuneSigR_B cells.2_score","ImmuneSigR_T cell/Exhaustion signature_score","ImmuneSigR_CD4 T cells/Naive1_score","ImmuneSigR_CD4 T cells/Naive2_score","ImmuneSigR_CD8 T cells/Memory/Naive1_score","ImmuneSigR_CD8 T cells/Unassigned1_score","ImmuneSigR_CD8 T cells/Naive2_score","ImmuneSigR_CD8 T cells/Dysfunction_score","ImmuneSigR_CD8+ T cells/cell state 1_score","ImmuneSigR_CD8+ T cells/cell state 2_score","ImmuneSigR_CD8+ T cells/cell state 3_score","ImmuneSigR_T cell/1_score","ImmuneSigR_T cell/2_score","ImmuneSigR_T cell/CD4-C3-CD27_score","ImmuneSigR_T cell/CD4-C4-CTLA4_score","ImmuneSigR_T cell/CD4-C6-CCR7_score","ImmuneSigR_T cell/CD4-C4-CTLA4.1_score","ImmuneSigR_41BB-Hi CD8+ T cell_score","ImmuneSigR_41BB-Hi CD8+ T cell.1_score","ImmuneSigR_41BB-Lo CD8+ T cell.1_score","ImmuneSigR_CD8, gamma delta t cells_score","ImmuneSigR_Naive T Cells_score","ImmuneSigR_T cells_CD4_CCR7_score","ImmuneSigR_T cells_Treg_FOXP3_score","ImmuneSigR_KUL3 T cells_Cluster0_score","ImmuneSigR_KUL3 T cells_Cluster1_score","ImmuneSigR_KUL3 T cells_Cluster2_score","ImmuneSigR_KUL3 T cells_Cluster3_score","ImmuneSigR_KUL3 T cells_Cluster10_score","ImmuneSigR_MBM_sc_tcells_CD8+ T cells TOX+_score","ImmuneSigR_MBM_sc_tcells_CD8+ T cells TCF7+_score","ImmuneSigR_MBM_sc_tcells_CD4+ T cells_score"
"cell_1",2.01666666666667,1.98039215686275,2.0952380952381,2.44444444444444,2.71428571428571,2.5,1.82352941176471,1.85714285714286,1.66666666666667,1.5,1.76190476190476,2.04545454545455,1.6,1,1.6,2,2,2.08333333333333,2,1.8,2.12244897959184,2.32142857142857,2.11111111111111,2.08,1.66666666666667,2.58823529411765,2.17543859649123,1.97435897435897,2.33333333333333,2.22916666666667,2,2.66666666666667,2.16666666666667,2.3,2,2,2.41666666666667,3,1.9,1.77777777777778,2.33333333333333,1.77777777777778,2.36363636363636,1.8,2.4375,1.66666666666667,3.4,2.36363636363636,2.4,2.33333333333333,2,2,2.85714285714286,2.85714285714286,2.55555555555556,2,1.46153846153846,2,2.33333333333333,2.42857142857143,2,2.13333333333333
"cell_2",2.04166666666667,1.98039215686275,1.9047619047619,2.11111111111111,2.42857142857143,1.85,1.82352941176471,1.42857142857143,1.5,1.66666666666667,2.33333333333333,2.09090909090909,2,2,1.8,2.6,2,2.04166666666667,1.95714285714286,3.4,2.12244897959184,2.07142857142857,1.97777777777778,1.6,2.5,2.23529411764706,2.07017543859649,1.87179487179487,2,2.16666666666667,2,2.33333333333333,1.66666666666667,2,1.71428571428571,1.6,1.75,2,2.4,2.44444444444444,1.83333333333333,2.66666666666667,1.54545454545455,1.8,2,2.33333333333333,2,2.63636363636364,2.9,1.66666666666667,2.14285714285714,2,1.85714285714286,1.42857142857143,1.66666666666667,1.8,2.23076923076923,2.55555555555556,2.11111111111111,2.85714285714286,1.42857142857143,1.73333333333333
"cell_3",1.875,1.68627450980392,1.85714285714286,2.22222222222222,1.71428571428571,1.6,2.47058823529412,1.71428571428571,3,2.66666666666667,1.57142857142857,1.68181818181818,2.8,2.2,2.4,1.6,1.81818181818182,1.8125,1.78571428571429,1.6,1.95918367346939,1.53571428571429,2.04444444444444,1.56,2.33333333333333,1.64705882352941,1.50877192982456,2.05128205128205,1.44444444444444,1.54166666666667,1.81818181818182,2.16666666666667,2.5,2.9,2.28571428571429,1,2,2,1.4,2.11111111111111,2,2,1.72727272727273,1.8,1.8125,2.66666666666667,1.4,2.18181818181818,2.2,0.666666666666667,1.28571428571429,1.6875,1.85714285714286,2.42857142857143,2,1.2,3.15384615384615,2.44444444444444,2.33333333333333,1.85714285714286,1.14285714285714,2.06666666666667
"cell_4",2.05,1.84313725490196,2.14285714285714,1.55555555555556,2.28571428571429,2.45,2.23529411764706,1.42857142857143,2.16666666666667,2.5,2,1.81818181818182,2.4,2.6,1.8,0.6,3.09090909090909,1.95833333333333,1.98571428571429,1.2,2.14285714285714,2.21428571428571,2.06666666666667,1.92,2.27777777777778,2.35294117647059,2.01754385964912,2.02564102564103,1.33333333333333,2.1875,3.09090909090909,2.33333333333333,2.16666666666667,2.3,1.57142857142857,2.6,1.91666666666667,1.4,2.4,2.05555555555556,2,2.44444444444444,1.90909090909091,1.8,2.75,1.77777777777778,1.8,2.81818181818182,2.8,2.66666666666667,2.14285714285714,2,2,1.85714285714286,2,3,2.07692307692308,2.44444444444444,1.55555555555556,3,2.42857142857143,1.93333333333333
"cell_5",2.04166666666667,1.92156862745098,1.42857142857143,1.66666666666667,1.14285714285714,1.85,2.11764705882353,2.57142857142857,1.83333333333333,1.83333333333333,2.33333333333333,2.31818181818182,2.6,2,2,1.8,1.81818181818182,1.91666666666667,1.82857142857143,2.4,2.02040816326531,1.92857142857143,1.86666666666667,2.2,2,1.94117647058824,2.15789473684211,2.28205128205128,2.11111111111111,2.0625,1.81818181818182,2.33333333333333,2.16666666666667,2.1,1.85714285714286,2.6,2.5,2,2.4,2.66666666666667,2.66666666666667,2.11111111111111,1.27272727272727,2.2,2,2.55555555555556,1.6,1.45454545454545,1.7,1.83333333333333,2.42857142857143,2.125,2.14285714285714,2.14285714285714,2.33333333333333,1.4,2.15384615384615,2.22222222222222,1.33333333333333,1.57142857142857,2.57142857142857,2.26666666666667
"cell_6",2.04166666666667,2.19607843137255,1.95238095238095,2.55555555555556,1.14285714285714,2.25,2.41176470588235,1.57142857142857,1.66666666666667,1.66666666666667,1.9047619047619,2,0.6,0.8,2.8,0.8,1.90909090909091,1.95833333333333,2.07142857142857,2.4,1.93877551020408,1.92857142857143,1.95555555555556,1.88,2.61111111111111,1.94117647058824,2.12280701754386,2.25641025641026,2.55555555555556,2.04166666666667,1.90909090909091,1.66666666666667,2.5,2,2.42857142857143,2.4,2.58333333333333,2.6,1.8,2.33333333333333,2.16666666666667,1.11111111111111,1.81818181818182,1.4,1.5,1.77777777777778,2.6,1.18181818181818,1.6,2.33333333333333,2.28571428571429,2.25,2.42857142857143,2,2.11111111111111,1.8,1.53846153846154,2.11111111111111,1.77777777777778,1.14285714285714,2.85714285714286,2.6
"cell_7",2.09166666666667,2.27450980392157,2.0952380952381,1.55555555555556,1.85714285714286,2.2,1.94117647058824,2.71428571428571,1.83333333333333,2.5,2.0952380952381,2.68181818181818,3.4,3,2.6,1.6,2.27272727272727,2,2,1.2,1.91836734693878,2.03571428571429,2.15555555555556,2.64,1.83333333333333,1.58823529411765,2.08771929824561,2.25641025641026,2.22222222222222,2.16666666666667,2.27272727272727,0.833333333333333,1.66666666666667,1.1,1.85714285714286,2,1.5,2.2,2,2.05555555555556,2,2.22222222222222,2,3.2,2,1.77777777777778,2.4,2.36363636363636,2.3,1.33333333333333,1.85714285714286,1.8125,1.71428571428571,1.85714285714286,2.22222222222222,2,1.46153846153846,2.11111111111111,2.66666666666667,2.14285714285714,1.71428571428571,1.86666666666667
"cell_8",1.9,1.92156862745098,1.52380952380952,2.33333333333333,2.14285714285714,1.65,1.82352941176471,1.85714285714286,1.5,1.33333333333333,2.0952380952381,2,1.6,1.4,1.4,2.4,2,2.0625,2.02857142857143,1.8,2.06122448979592,1.64285714285714,2.08888888888889,2.04,1.66666666666667,1.58823529411765,2,2,2.33333333333333,1.89583333333333,2,1.5,1.5,1.9,1.57142857142857,2.4,1.91666666666667,1.8,1.6,1.88888888888889,1.66666666666667,1.77777777777778,1.90909090909091,0.8,1.625,1.44444444444444,1.2,1.63636363636364,1.4,2,1.28571428571429,1.5625,2.28571428571429,1.71428571428571,1.33333333333333,1.8,1.92307692307692,1.44444444444444,1.88888888888889,1.57142857142857,1.28571428571429,2.46666666666667
"cell_9",2.01666666666667,1.94117647058824,1.47619047619048,2.55555555555556,2.42857142857143,2.2,2.17647058823529,1.14285714285714,3.33333333333333,2.16666666666667,1.71428571428571,1.59090909090909,1.4,0.8,1,2.6,1.45454545454545,1.79166666666667,1.91428571428571,1.6,2.06122448979592,1.85714285714286,2.11111111111111,1.6,1.88888888888889,2,2.10526315789474,2.15384615384615,1.66666666666667,1.75,1.45454545454545,2.16666666666667,1.83333333333333,2.1,2.57142857142857,2.2,2.25,2.2,2.5,2.11111111111111,3.33333333333333,1.44444444444444,2.27272727272727,1.6,2.3125,3,1.4,2,2.1,3.66666666666667,2.42857142857143,2.5,2,1.85714285714286,2.33333333333333,1.4,2.30769230769231,2.22222222222222,2.55555555555556,2.57142857142857,2.71428571428571,2.2
"cell_10",1.84166666666667,1.70588235294118,1.85714285714286,2.77777777777778,1.85714285714286,2.1,2.47058823529412,2.28571428571429,2.16666666666667,2,2.33333333333333,2.09090909090909,1.8,2,1.6,2.4,1.54545454545455,2.0625,1.9,1.8,2.24489795918367,2,1.97777777777778,2.16,1.77777777777778,2.23529411764706,1.98245614035088,1.74358974358974,1.22222222222222,1.97916666666667,1.54545454545455,1.66666666666667,1.83333333333333,1.7,2.14285714285714,1.8,1.75,3.2,2.5,1.83333333333333,2.16666666666667,2.33333333333333,2.63636363636364,2.4,2.25,2,2.4,2.27272727272727,2.7,2.16666666666667,2.28571428571429,1.9375,2.14285714285714,3.42857142857143,2.88888888888889,1.4,1.92307692307692,2.11111111111111,2.33333333333333,2.85714285714286,2,2.06666666666667
