"","ImmuneSigR_B cell_score","ImmuneSigR_B cell.1_score","ImmuneSigR_Activated B cells_score","ImmuneSigR_Naive B cells_score","ImmuneSigR_Atypical Memory B cells_score","ImmuneSigR_B cells/MHC-II_score","ImmuneSigR_B cells/Stress_score","ImmuneSigR_B cells/Germinal Center_score","ImmuneSigR_B cells/Progenitor_score","ImmuneSigR_B cells/B-cells1_score","ImmuneSigR_B cell Clusters _Cluster1_score","ImmuneSigR_B cell Clusters _Cluster2_score","ImmuneSigR_B cell Clusters _Cluster3_score","ImmuneSigR_B cell Clusters _Cluster4_score","ImmuneSigR_B cell Clusters _Cluster6_score","ImmuneSigR_B cell Clusters _Cluster7_score","ImmuneSigR_B cells_score","ImmuneSigR_B cell.3_score","ImmuneSigR_B cell.4_score","ImmuneSigR_B cell.5_score","ImmuneSigR_B Cells_score","ImmuneSigR_B cells_B0_TNFRSF13B_score","ImmuneSigR_B cells_B1_S1PR1_score","ImmuneSigR_B cells_B3_NEIL1_score","ImmuneSigR_B cells Naive_score","ImmuneSigR_B cell/BC_GPR183_score","ImmuneSigR_MBM_sc_bcells_Activated B cells_score","ImmuneSigR_MBM_sc_bcells_Naïve B cells_score","ImmuneSigR_B CELL_score","ImmuneSigR_G1- B cells_score","ImmuneSigR_B cells.2_score","ImmuneSigR_T cell/Exhaustion signature_score","ImmuneSigR_CD4 T cells/Naive1_score","ImmuneSigR_CD4 T cells/Naive2_score","ImmuneSigR_CD8 T cells/Memory/Naive1_score","ImmuneSigR_CD8 T cells/Unassigned1_score","ImmuneSigR_CD8 T cells/Naive2_score","ImmuneSigR_CD8 T cells/Dysfunction_score","ImmuneSigR_CD8+ T cells/cell state 1_score","ImmuneSigR_CD8+ T cells/cell state 2_score","ImmuneSigR_CD8+ T cells/cell state 3_score","ImmuneSigR_T cell/1_score","ImmuneSigR_T cell/2_score","ImmuneSigR_T cell/CD4-C3-CD27_score","ImmuneSigR_T cell/CD4-C4-CTLA4_score","ImmuneSigR_T cell/CD4-C6-CCR7_score","ImmuneSigR_T cell/CD4-C4-CTLA4.1_score","ImmuneSigR_41BB-Hi CD8+ T cell_score","ImmuneSigR_41BB-Hi CD8+ T cell.1_score","ImmuneSigR_41BB-Lo CD8+ T cell.1_score","ImmuneSigR_CD8, gamma delta t cells_score","ImmuneSigR_Naive T Cells_score","ImmuneSigR_T cells_CD4_CCR7_score","ImmuneSigR_T cells_Treg_FOXP3_score","ImmuneSigR_KUL3 T cells_Cluster0_score","ImmuneSigR_KUL3 T cells_Cluster1_score","ImmuneSigR_KUL3 T cells_Cluster2_score","ImmuneSigR_KUL3 T cells_Cluster3_score","ImmuneSigR_KUL3 T cells_Cluster10_score","ImmuneSigR_MBM_sc_tcells_CD8+ T cells TOX+_score","ImmuneSigR_MBM_sc_tcells_CD8+ T cells TCF7+_score","ImmuneSigR_MBM_sc_tcells_CD4+ T cells_score"
"cell_1",1,0.613475177304964,0.580384447356924,0.623188405797101,0.620689655172414,0.66986301369863,0.508744038155803,0.489532019704433,0.452074391988555,0.40343347639485,0.49301004805592,0.564306661080855,0.432478632478632,0.285470085470085,0.413675213675214,0.521367521367521,0.498006379585327,0.638743455497382,0.700422654268808,0.443589743589744,0.646616541353384,0.654366960054164,0.649255441008018,0.593271028037383,0.468577174459527,0.656862745098039,0.701850780798149,0.580641025641026,0.548792270531401,0.678992146596859,0.498006379585327,0.666666666666667,0.583690987124464,0.603056768558952,0.517857142857143,0.521367521367521,0.638032305433186,0.700854700854701,0.502620087336245,0.491955756661639,0.601573676680973,0.467149758454106,0.597288676236045,0.416239316239316,0.64237668161435,0.445410628019324,0.78034188034188,0.618819776714514,0.622707423580786,0.600143061516452,0.524014778325123,0.544843049327354,0.722906403940887,0.689655172413793,0.629951690821256,0.41965811965812,0.400272294077604,0.523188405797101,0.569082125603865,0.629926108374384,0.517857142857143,0.575297619047619
"cell_2",1,0.605027117229871,0.502402795980778,0.56231884057971,0.596674876847291,0.495662100456621,0.487546369899311,0.390394088669951,0.394849785407725,0.454220314735336,0.581258191349934,0.557394218684541,0.499145299145299,0.499145299145299,0.482051282051282,0.658119658119658,0.516347687400319,0.616710296684119,0.673203719357566,0.764102564102564,0.638775510204082,0.556872037914692,0.584077892325315,0.451588785046729,0.631975867269985,0.595124536301007,0.648737227684596,0.54051282051282,0.482608695652174,0.653795811518325,0.516347687400319,0.620171673819742,0.406294706723891,0.485152838427948,0.428571428571429,0.411111111111111,0.458516886930984,0.499145299145299,0.602620087336245,0.609854198089492,0.465665236051502,0.649275362318841,0.422248803827751,0.437606837606838,0.533912556053812,0.572463768115942,0.534188034188034,0.637958532695375,0.705676855895196,0.443490701001431,0.559113300492611,0.525784753363229,0.479679802955665,0.390394088669951,0.457487922705314,0.472649572649573,0.547991831177672,0.614492753623188,0.509661835748792,0.669334975369458,0.38115763546798,0.460119047619048
"cell_3",1,0.612536503963288,0.545434687636522,0.643478260869565,0.513546798029557,0.509132420091324,0.680975092739799,0.491379310344828,0.688125894134478,0.665236051502146,0.50436871996505,0.530372852953498,0.677777777777778,0.609401709401709,0.647008547008547,0.453846153846154,0.526714513556619,0.603730366492147,0.692138630600169,0.505982905982906,0.6484425349087,0.520142180094787,0.65418098510882,0.505233644859813,0.602564102564103,0.518018018018018,0.592153460574513,0.636794871794872,0.460386473429952,0.558027923211169,0.526714513556619,0.567238912732475,0.59656652360515,0.631877729257642,0.598522167487685,0.323076923076923,0.505139500734214,0.602564102564103,0.453711790393013,0.565862242332831,0.579399141630901,0.588888888888889,0.51993620414673,0.551282051282051,0.49719730941704,0.703381642512077,0.433333333333333,0.614832535885167,0.609606986899563,0.251072961373391,0.427955665024631,0.50140134529148,0.50615763546798,0.655172413793103,0.559420289855072,0.388034188034188,0.753914227365555,0.623671497584541,0.619806763285024,0.54064039408867,0.385467980295567,0.548214285714286
"cell_4",1,0.583333333333333,0.572957623416339,0.414975845410628,0.554802955665025,0.639269406392694,0.563063063063063,0.379310344827586,0.572961373390558,0.55722460658083,0.529925731760594,0.511311269375786,0.631623931623932,0.676068376068376,0.476068376068376,0.197435897435897,0.701355661881978,0.597622164048866,0.679120879120879,0.335042735042735,0.652631578947368,0.611374407582938,0.615463917525773,0.532523364485981,0.586726998491704,0.607048224695284,0.652978600347021,0.601666666666667,0.35024154589372,0.651178010471204,0.701355661881978,0.59656652360515,0.550071530758226,0.560262008733625,0.432266009852217,0.632478632478632,0.504038179148311,0.379487179487179,0.574235807860262,0.548265460030166,0.515736766809728,0.592753623188406,0.468500797448166,0.490598290598291,0.664798206278027,0.477777777777778,0.476068376068376,0.636363636363636,0.62707423580786,0.660228898426323,0.556650246305419,0.540358744394619,0.511699507389163,0.501847290640394,0.489855072463768,0.732478632478633,0.549693669162696,0.607246376811594,0.41304347826087,0.615147783251232,0.606527093596059,0.519345238095238
"cell_5",1,0.613683771380893,0.4130624726955,0.444444444444444,0.332512315270936,0.511872146118721,0.543720190779014,0.613916256157635,0.484978540772532,0.484263233190272,0.630187854958497,0.614369501466276,0.681196581196581,0.538461538461538,0.538461538461538,0.431623931623932,0.490430622009569,0.581151832460733,0.659509721048183,0.627350427350427,0.633619763694952,0.541976980365606,0.57262313860252,0.607663551401869,0.539718451483157,0.536830948595655,0.673703489492963,0.656666666666667,0.542512077294686,0.646051483420593,0.490430622009569,0.559370529327611,0.497138769670958,0.491266375545852,0.510467980295567,0.601709401709402,0.610132158590308,0.526495726495727,0.603930131004367,0.661639014580191,0.616595135908441,0.540579710144928,0.364433811802233,0.58034188034188,0.535594170403587,0.618357487922705,0.434188034188034,0.405901116427432,0.465065502183406,0.482117310443491,0.586206896551724,0.559977578475336,0.496305418719212,0.541256157635468,0.579710144927536,0.381196581196581,0.553437712729748,0.543961352657005,0.373913043478261,0.426724137931034,0.588054187192118,0.562797619047619
"cell_6",1,0.674071756362119,0.525557011795544,0.621256038647343,0.305418719211823,0.574429223744292,0.604398516163222,0.40948275862069,0.401287553648069,0.44206008583691,0.50524246395806,0.526183493925429,0.164102564102564,0.221367521367521,0.636752136752137,0.233333333333333,0.464912280701754,0.589005235602094,0.702789518174133,0.590598290598291,0.590977443609022,0.526743398781313,0.589690721649485,0.508598130841121,0.667169431875314,0.479862215156333,0.670715249662618,0.658205128205128,0.636714975845411,0.615183246073298,0.464912280701754,0.413447782546495,0.602288984263233,0.510917030567686,0.583128078817734,0.590598290598291,0.636196769456681,0.605982905982906,0.48296943231441,0.599798893916541,0.535050071530758,0.298067632850242,0.467304625199362,0.377777777777778,0.394618834080718,0.468599033816425,0.605982905982906,0.313795853269538,0.397379912663755,0.582260371959943,0.604679802955665,0.586042600896861,0.577586206896552,0.478448275862069,0.522222222222222,0.460683760683761,0.411504424778761,0.514492753623188,0.472463768115942,0.29679802955665,0.717364532019704,0.65327380952381
"cell_7",1,0.661764705882353,0.514635211882918,0.407246376811594,0.458743842364532,0.550684931506849,0.523582405935347,0.628694581280788,0.473533619456366,0.594420600858369,0.503713411970293,0.644951822371177,0.812820512820513,0.717094017094017,0.621367521367521,0.407692307692308,0.574162679425837,0.588459860383944,0.662890955198647,0.331623931623932,0.574006444683136,0.541807718348003,0.631500572737686,0.654766355140187,0.494469582704877,0.434817170111288,0.63475997686524,0.653589743589744,0.552657004830918,0.617473821989529,0.574162679425837,0.243919885550787,0.439198855507868,0.313100436681223,0.485837438423645,0.512820512820513,0.414096916299559,0.556410256410256,0.514410480349345,0.555555555555556,0.51931330472103,0.56231884057971,0.523524720893142,0.78034188034188,0.536434977578475,0.471497584541063,0.608547008547009,0.586124401913876,0.57117903930131,0.359084406294707,0.477832512315271,0.491031390134529,0.455665024630542,0.485837438423645,0.573429951690821,0.521367521367521,0.404016337644656,0.55024154589372,0.622705314009662,0.512315270935961,0.454433497536946,0.486904761904762
"cell_8",1,0.630371297455152,0.478374836173001,0.603864734299517,0.57512315270936,0.506164383561644,0.507154213036566,0.528940886699507,0.443490701001431,0.409155937052933,0.586282219309742,0.574151654796816,0.468376068376068,0.428205128205128,0.422222222222222,0.629059829059829,0.52511961722488,0.661758289703316,0.73178360101437,0.476068376068376,0.667132116004296,0.520649966147597,0.659335624284078,0.592710280373832,0.470839617898441,0.477212506624271,0.684403315982263,0.627692307692308,0.621256038647343,0.618019197207679,0.52511961722488,0.416309012875536,0.435622317596567,0.505240174672489,0.455665024630542,0.639316239316239,0.522026431718062,0.491452991452991,0.469868995633188,0.553293112116642,0.48140200286123,0.508212560386473,0.537480063795853,0.290598290598291,0.489910313901345,0.429951690821256,0.376068376068376,0.476475279106858,0.423144104803493,0.544349070100143,0.400862068965517,0.471692825112108,0.57820197044335,0.491379310344828,0.41304347826087,0.513675213675214,0.544928522804629,0.433333333333333,0.489371980676328,0.451354679802956,0.401477832512315,0.620833333333333
"cell_9",1,0.599603671255736,0.450851900393185,0.500966183574879,0.657019704433498,0.546575342465753,0.544780074191839,0.359605911330049,0.708154506437768,0.545064377682403,0.501310615989515,0.472350230414747,0.38034188034188,0.25982905982906,0.305982905982906,0.713675213675214,0.411084529505582,0.576788830715532,0.668639053254438,0.452136752136752,0.619978517722879,0.498815165876777,0.657388316151203,0.484859813084112,0.515082956259427,0.491255961844197,0.657701947175631,0.614871794871795,0.427536231884058,0.56162739965096,0.411084529505582,0.532904148783977,0.523605150214592,0.578602620087336,0.655172413793103,0.636752136752137,0.61784140969163,0.572649572649573,0.542794759825328,0.5824534942182,0.668812589413448,0.417391304347826,0.618819776714514,0.426495726495727,0.626961883408072,0.723671497584541,0.413675213675214,0.527910685805423,0.54061135371179,0.690987124463519,0.480911330049261,0.586322869955157,0.570197044334975,0.507389162561576,0.614492753623188,0.413675213675214,0.590197413206263,0.588405797101449,0.660869565217391,0.655172413793103,0.569581280788177,0.57797619047619
"cell_10",1,0.609929078014184,0.543250327653997,0.724154589371981,0.535098522167488,0.595433789954338,0.694753577106518,0.597290640394089,0.598712446351931,0.547210300429185,0.651157710790738,0.612065354000838,0.511965811965812,0.55982905982906,0.464102564102564,0.635897435897436,0.465311004784689,0.68630017452007,0.728994082840237,0.506837606837607,0.747368421052632,0.60155721056195,0.656242840778923,0.624485981308411,0.530165912518854,0.637254901960784,0.702718334297282,0.577692307692308,0.378260869565217,0.665248691099476,0.465311004784689,0.48068669527897,0.507153075822604,0.486899563318777,0.589901477832512,0.452991452991453,0.479441997063142,0.796581196581197,0.687772925764192,0.516339869281046,0.542203147353362,0.645410628019324,0.69377990430622,0.657264957264957,0.613789237668162,0.551207729468599,0.598290598290598,0.608851674641148,0.709170305676856,0.585836909871245,0.62192118226601,0.559417040358744,0.583743842364532,0.849753694581281,0.73719806763285,0.414529914529915,0.54424778761062,0.588405797101449,0.616908212560386,0.724753694581281,0.551724137931034,0.590178571428571
