"Title","PMID","cell_name","Cell_Type","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161","X162","X163","X164","X165","X166","X167","X168","X169","X170","X171","X172","X173","X174","X175","X176","X177","X178","X179","X180","X181","X182","X183","X184","X185","X186","X187","X188","X189","X190","X191","X192","X193","X194","X195","X196","X197","X198","X199","X200"
"A molecular cell atlas of the human lung from single cell RNA sequencing",33208946,"B cell_PMID_33208946","B cell","CD79A","MS4A1","TCL1A","CD79B","LINC00926","LTB","BANK1","CD37","VPREB3","RCSD1","FCER2","FCMR","HVCN1","MEF2C","ADAM28","HLA-DOB","BLK","CD19","FCRLA","SELL","IRF8","CD74","CD24","GNG7","IL4R","P2RX5","SPIB","EEF2","CD52","PPAPDC1B","PAX5","ORAI2","LIMD2","CYB561A3","TPD52","PTPRCAP","SNHG7","CD22","CD40","TSPAN13","TXNIP","CCR7","QRSL1","GAS5","SNX2","POU2F2","ZCCHC7","BCL11A","ISG20","KLF2","CLEC2D","HBB","HLA-DRB6","IFT57","CXCR4","GLTSCR2","HHEX","NCF1C","BTG1","SMIM14","LAPTM5","PNISR","EZR","PRKCB","PLEKHF2","TMEM243","EVI2B","MDM4","MARCH1","FAM65B","STK17A","SWAP70","FAM26F","GNB2L1","HLA-DMB","LY86","DRAM2","SP110","DCK","HLA-DQB2","NAPSB","RASGRP2","SYPL1","GABPB1-AS1","FAU","STX7","UCP2","TMEM154","PPM1K","RNASE6","SMDT1","SMARCB1","MBD4","LBH","LSM7","C6orf48","SP100","HLA-DQA1","SEC62","TSTD1","FOXP1","EIF2S3","BIRC3","BIN1","ANAPC16","SEPT6","NPM1","POLD4","LUC7L3","HNRNPA1L2","ARID5B","HLA-DQA2","TCEA1","CHPT1","EIF3E","EIF3D","HLA-DMA","PARP1","ITSN2","ELOVL5","SMCHD1","EIF3F","ZFAS1","PTPN6","ERP29","IL16","HNRNPA1","TRIM38","SNHG5","CORO1A","BLOC1S2","TAF1D","FLJ10038","SNHG3","TBC1D10C","SH3BP5","PNN","PDLIM1","TNFAIP8","HINT1","EIF3L","EIF4B","HMHA1","UBA52","ATP6V1G1","ACAP1","PSMB8-AS1","TRAF3IP3","HLA-DPB1","FAM96A","PPP1CC","CHCHD10","TNRC6B","HLA-DRA","PLAC8","LOC100190986","PABPC1","SEP15","QARS","HDAC1","SRSF8","C17orf62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A molecular cell atlas of the human lung from single cell RNA sequencing",33208946,"Plasma cell_PMID_33208946","B cell","JCHAIN","IGLL5","MZB1","DERL3","SSR4","HERPUD1","FKBP11","HSP90B1","SEC11C","ITM2C","CD27","XBP1","CD79A","PRDX4","FKBP2","PIM2","SFTPC","PDIA6","MANF","TNFRSF17","DNAJB9","SELM","VIMP","TNFRSF13B","SPCS2","SPCS1","SPCS3","MYDGF","CRELD2","SDC1","GNG7","TXNDC11","SDF2L1","SSR3","KRTCAP2","TXNDC15","CTSH","JSRP1","UBE2J1","NUCB2","POU2AF1","JUN","TMEM59","TMED10","TMED9","FAM46C","ERLEC1","ANKRD36BP2","TPD52","PLA2G2D","RABAC1","PDIA4","RPN2","HSPA5","PPAPDC1B","ISCU","SPAG4","SLAMF7","MEI1","LMAN2","QPCT","TMEM258","PPIB","SEC61B","H1FX","CITED2","TSC22D3","LMAN1","DDOST","TRAM1","CHPF","TP53INP1","SEL1L3","CCDC167","TRIB1","SIK1","PABPC4","CD38","SELK","HM13","SUB1","CD59","BIRC3","DUSP5","HDLBP","ERGIC3","KDELR2","GSTP1","CALR","CFLAR","KIAA0125","FAM3C","SRM","EAF2","TMEM205","ISG20","AMPD1","KDELR1","P4HB","CUTA","EZR","UBC","IL2RG","DNAJC3","RPN1","RASGRP3","TMED2","ATF4","WNT10A","CNPY2","YPEL5","PERP","DNAJB11","ARF4","KLF6","CTHRC1","MANEA","AQP3","TECR","OS9","TMEM156","DANCR","SCNN1B","ARSA","OSTC","CFL2","PDK1","RAB30","ALG5","IFNAR2","DNAJC1","SEL1L","ERP29","TMBIM6","ANKRD28","FCRL5","WBSCR22","PAIP2B","CAV1","SLC38A10","DERL1","SIL1","MIF","SEC62","CCR10","HLA-DOB","VKORC1","HSH2D","DAD1","SERP1","ATRAID","CXorf21","IGF1","GAS6","SEC61A1","HSPA13","TIFA","SRPRB","GORASP2","VOPP1","SSR2","ANKRD37","ICAM2","DNPH1","TM9SF1","TMED4","CHID1","SEC61G","CRIP1","LSR","GMPPB","KCNA3","YIPF3","B4GALT7","LY96","COMMD3","TNFRSF18","LIME1","HSD17B8","SRPR","IFNAR1","ARID5B","CYBA","LOC283710","C16orf74","CERCAM","A1BG","ST6GALNAC4","SLC35B1","WDR45","CLPTM1L","PNOC","B4GALT3","CKAP4","PRDX2","XIST","TMEM208","PELI1","B4GALT1","SEC14L1"
"A molecular cell atlas of the human lung from single cell RNA sequencing",33208946,"CD8+ Memory/Effector T_PMID_33208946","T cell","GZMK","CD8A","DUSP2","CCL5","KLRB1","IL32","IL7R","GZMA","TARP","CMC1","CD3E","CD3D","CD8B","FYN","GZMM","LYAR","CST7","PIK3R1","KLRG1","CD2","SPOCK2","SH2D1A","PTPRCAP","CXCR4","LCK","NKG7","ZFP36L2","CLEC2D","PVRIG","CTSW","CD27","ETS1","GZMH","SYTL3","PRF1","LIME1","GIMAP4","PRDM1","RUNX3","CD3G","GPR171","PARP8","CNOT6L","HCST","CD7","BTG1","GIMAP7","SH2D2A","RARRES3","BCL11B","SLC38A1","IFITM1","PTPRC","SYNE2","SAMD3","TRAT1","DNAJB1","PBXIP1","S1PR4","ISG20","IKZF3","LEPROTL1","PCED1B-AS1","TOB1","ARL4C","CD6","CDC42SE2","MATK","PRKCH","MALAT1","EML4","STK17A","HLA-F","GCC2","ACAP1","AKNA","HLA-A","TBC1D10C","CLEC2B","AIM1","ITM2A","SNHG6","TXNIP","AAK1","C9orf142","GIMAP1","HLA-B","HLA-C","HLA-E","TERF2IP","CD48","AES","SUN2","BIN2","APMAP","IL2RG","TUBA4A","CD247","SMCHD1","ICAM3","EMB","PIK3IP1","RASAL3","PIP4K2A","SEPT1","APOBEC3G","ARHGEF1","IL16","KIAA1551","CHST12","TOMM7","GLTSCR2","KLRD1","SARAF","RNF166","ARHGAP15","HMHA1","TAGAP","SNRPD2","CORO1A","LAT","GUK1","CNN2","JUNB","GTF3A","TMA7","SEPT7","BUB3","PDCD4","GAS5","CCND3","GYPC","FCMR","VAMP2","IL10RA","CD99","LIMD2","SIGIRR","C12orf75","SSR2","KMT2E","ANKRD12","CALM1","IRF1","CREM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A molecular cell atlas of the human lung from single cell RNA sequencing",33208946,"CD8+ Naive T_PMID_33208946","T cell","GZMH","CCL5","NKG7","CD3D","GNLY","CD8A","CMC1","IL32","CD8B","GZMA","CST7","TARP","CD3E","KLRC2","CTSW","KLRD1","GZMM","GZMB","KLRG1","PRF1","IFITM1","PTPRCAP","FGFBP2","CD3G","HCST","CD2","KLRF1","LCK","LYAR","TIGIT","CD7","C12orf75","LIME1","PRDM1","RUNX3","KLRB1","ETS1","FYN","HOPX","PVRIG","SAMD3","CD99","RARRES3","ISG20","DUSP2","SPOCK2","AES","SYNE2","APOBEC3G","ZFP36L2","C9orf142","MATK","CHST12","CLEC2D","SH2D2A","SYTL3","HLA-C","HLA-A","IL2RG","ANXA6","PRKCH","PARP8","HLA-B","PTPRC","APMAP","BIN2","STK17A","GIMAP7","PIP4K2A","ITGB2","AKNA","ACAP1","ZAP70","TUBA4A","EVL","TBC1D10C","ARPC5L","PIK3R1","CD247","CASP8","GIMAP4","GNG2","MALAT1","SUN2","ABHD17A","RASAL3","CXCR4","CCND3","IFITM2","CNOT6L","SLC38A1","ARL4C","LAT","HLA-E","TMA7","MYO1F","CORO1A","SLC9A3R1","PCED1B-AS1","SEPT1","EMB","CALM1","S1PR4","ICAM3","PPP2R5C","KIAA1551","GIMAP1","HLA-F","ARHGEF1","GTF3A","SEPT7","RAC2","CDC42SE2","BTN3A2","SYTL1","ARHGAP30","VAMP2","RNF213","SSBP4","PPP1R18","TPST2","PBXIP1","PIK3IP1","IL7R","GUK1","CDC42SE1","PTP4A2","HMOX2","WIPF1","TAP1","BIN1","CD52","CLEC2B","TXNIP","CYTIP","BTG1","RNF167","CAPN2","TSC22D4","BUB3","MBP","SNRPD2","IL10RA","LOC100190986","UCP2","PSMB9","TAF7","CCDC107","KLF2","RAP1B","CD53","PFN1","HMHA1","C12orf57","ABI3","FNBP1","MYO1G","RNF166","PPP1CA","DOK2","RABAC1","DHRS7","ADGRE5","PPDPF","MYL12A","SIGIRR","EZR","LSP1","DDIT4","CELF2","TMEM173","IKZF1","STOM","HSPA8","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A molecular cell atlas of the human lung from single cell RNA sequencing",33208946,"CD4+ Memory/Effector T_PMID_33208946","T cell","IL32","CD2","CD3D","CD40LG","CD3E","IL7R","CXCR4","ZFP36L2","CXCR6","PRDM1","CD6","TRAT1","GPR171","PHLDA1","SPOCK2","LTB","CD52","LCK","TMEM173","SIT1","PBXIP1","PTGER4","ITM2A","PLP2","GZMA","BTG1","LEPROTL1","CXCR3","LIME1","ACAP1","PTPRCAP","CITED2","TSC22D3","IL2RG","CCDC167","CD3G","KLRB1","EVL","APOBEC3G","BATF","CD99","TUBA4A","AIM1","OCIAD2","PIK3IP1","RBPJ","SEPT1","RGS1","FYB","CLEC2D","CD96","EML4","TOB1","LAT","RHOH","ARID5B","ITGB1","CORO1A","RARRES3","FAM129A","KLF6","STK17A","SARAF","GSTK1","BCL11B","RGCC","IFITM1","NR3C1","ZC3HAV1","HOPX","SYNE2","TXNIP","PTPRC","ARHGAP15","EMB","ETS1","RASAL3","GIMAP7","CD69","ANKRD12","CCNH","TTC39C","KIAA1551","ZFP36","TAGAP","PRKCQ-AS1","LDHB","MZT2A","ANXA6","HLA-A","ARHGEF1","CCL5","MYL12A","PRDX2","FNBP1","AAK1","S100A4","CCDC107","FKBP11","EZR","ICAM3","CYTIP","TRAF3IP3","CORO1B","LDHA","RHOF","SEPT6","HMOX2","SKAP1","PDLIM2","LOC100190986","PIK3R1","TRADD","CDC42SE2","WIPF1","AMICA1","SIGIRR","PCED1B-AS1","TNFAIP3","DDIT4","ACTN4","ABRACL","PDCD4","JUNB","SLC38A1","SOCS1","ARHGDIB","MIF","CAPZB","ARL6IP5","YWHAQ","MYL12B","TBC1D10C","GIMAP4","SEPT9","HNRNPUL1","SOD1","STK17B","C12orf57","HINT1","IKZF1","STOM","HLA-B","MALAT1","DDX24","MYH9","BUB3","TAP1","TNRC6B","SH3BGRL3","SUN2","HMHA1","GPR183","JUN","ALOX5AP","CRIP1","APBB1IP","CD48","FXYD5","ARF6","TMEM123","APRT","MEAF6","HSPA8","GCC2","HCST","ID2","CAPN2","SYTL1","PSME1","TAPBP","RABAC1","CMTM7","DHRS7","CNN2","CALM1","UBC","S1PR4","GNG2","XIST","N4BP2L2","ARHGDIA","SSR2","SP100","SEPT7","TERF2IP","VAMP2","IDH2","IL10RA","EPC1","RNF167","CIB1","EVI2A","HLA-F","LINC00152","","","","",""
"A molecular cell atlas of the human lung from single cell RNA sequencing",33208946,"CD4+ Naive T_PMID_33208946","T cell","LTB","PRKCQ-AS1","CCR7","LEF1","LDHB","GAS5","MAL","NOSIP","HBB","IL7R","PIK3IP1","PCED1B-AS1","CD3E","TCF7","MYC","SELL","LINC00861","NPM1","GIMAP7","CD3D","GLTSCR2","CD27","BCL11B","FLT3LG","LRRC75A-AS1","SNHG5","EIF3E","EEF2","FHIT","C6orf48","TRAT1","TMEM123","LDLRAP1","IFITM1","CD3G","AES","GIMAP1","GIMAP4","TOB1","CLEC2D","IL32","ACAP1","NDFIP1","LCK","TXK","PIM1","PABPC1","TOMM7","SNHG6","FYB","HNRNPA1","SARAF","FCMR","LIME1","CD6","SPOCK2","STMN3","EVL","GNB2L1","RCAN3","TRAF3IP3","EIF4B","C12orf57","LEPROTL1","ITK","AAK1","ETS1","EIF3L","EIF3H","PIM2","CCDC109B","NACA2","HINT1","TTC39C","GIMAP2","SNHG3","TPT1","TXNIP","LIMD2","RSL1D1","SMDT1","EIF2S3","HMHA1","OCIAD2","TNFSF8","FBL","PSIP1","ARHGAP15","CD48","LBH","HSPA8","SEPT6","TAGAP","FOXP1","BTF3","COMMD6","SEPT1","FAM65B","SNHG7","TNRC6B","ARID5B","CD2","PRDX2","SLFN5","PBXIP1","KLF2","BIN1","SNHG8","ADD3","PNISR","NACA","MYLIP","HNRNPA1L2","ZC3HAV1","UBA52","EIF3F","CMPK1","DANCR","EIF4A2","SNRPD2","SRSF5","BTG1","ST13","ATM","LAT","UQCRB","MZT2A","VAMP2","TPR","SRSF8","COX7C","WHSC1L1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A molecular cell atlas of the human lung from single cell RNA sequencing",33208946,"Natural Killer T_PMID_33208946","T cell","ZNF683","KLRC2","XCL1","CCL5","KLRC1","CTSW","GNLY","KRT86","XCL2","HOPX","KLRC3","KRT81","CD7","KLRD1","GZMH","CXCR4","APOBEC3G","ITGB1","ZFP36L2","C12orf75","FCRL6","GZMB","CD2","CD8A","GPR171","PTPRCAP","IL2RB","BTG1","HCST","CST7","TUBA4A","PHLDA1","PRF1","LCK","TSC22D3","NKG7","IFITM1","STK17A","CD99","RBPJ","EMB","DUSP2","MATK","CHST12","TXNIP","ID2","EVL","PARP8","IL32","IL2RG","RARRES3","ACAP1","IL10RA","LSP1","LIME1","HLA-A","PIK3R1","SLC7A5P2","CYTIP","ITGB7","CD3E","BATF","SEPT7","PTGER4","CORO1A","SUN2","SOCS1","PRDM1","GLIPR1","C9orf89","MYL12A","PTPRC","CD52","PLP2","ANXA6","SYNE2","CLEC2D","CLEC2B","CD247","CCDC167","RASAL3","LGALS1","CD3D","OPTN","MBP","ITGB2","IL7R","SEPT1","HLA-B","RABAC1","GCC2","DHRS7","SH2D2A","HLA-C","N4BP2L2","PPP1R12A","TERF2IP","CITED2","ITGA4","XIST","OCIAD2","PIK3IP1","CD53","NR3C1","TBC1D10C","VAMP2","TMX4","STOM","C9orf142","RAC2","RGS1","LINC00152","ARL6IP5","DSTN","BUB3","WIPF1","SLC9A3R1","MEAF6","CLK1","KIAA1551","IFITM2","ETS1","ARF6","TSC22D4","RNF166","HMGB2","MALAT1","LOC100190986","UBC","TAGAP","FYN","ARHGAP30","FNBP1","PBXIP1","SYTL3","ACTN4","MPHOSPH8","CDK2AP2","PSMB9","SLA","TPST2","GZMM","DAD1","DDX5","IDH2","RGCC","TBCB","ANKRD12","HLA-E","LEPROTL1","SIGIRR","TAP1","MYO1F","BIN2","GUK1","RSRC2","CFLAR","ZFP36","SNRPB","SKP1","YWHAQ","HLA-F","PNISR","CDC42SE2","DOK2","SH3BGRL3","PAIP2","PRMT2","POLR3GL","ATRX","TSTD1","IKZF1","MYL12B","ARHGEF1","CLU","CD69","SP100","NCOR1","PRPF38B","PRDX2","ICAM3","KLRB1","KLF6","SOD1","SRSF2","ADGRE5","PPDPF","EVI2A","SAMSN1","IK","PNN","PSME1","S100A4","TAPBP","MYH9","CAP1","LCP1","HMGB1","APMAP","TRAF3IP3"
"A molecular cell atlas of the human lung from single cell RNA sequencing",33208946,"Natural Killer_PMID_33208946","NK cell","FGFBP2","GNLY","NKG7","PRF1","SPON2","CLIC3","GZMB","KLRF1","CD247","KLRB1","CD7","KLRD1","MYOM2","CST7","CTSW","IFITM1","GZMA","CMC1","HOPX","FCGR3A","S1PR5","GZMM","IGFBP7","GZMH","LOC100130872","PLAC8","CHST2","TTC38","TXK","ADGRG1","TMIGD2","LOC374443","APMAP","MATK","RARRES3","SH2D2A","BIN2","SYTL3","ITGB2","CCND3","PRSS23","DUSP2","IL2RB","SH2D1B","C1orf21","NCR3","ABHD17A","CHST12","DDIT4","AKR1C3","TBX21","AES","CCL5","PYHIN1","KLRC1","YPEL1","PRKCH","ID2","ZAP70","PTPRCAP","HSH2D","MAPK1","TXNIP","CX3CR1","ISG20","KLRC3","JAK1","RAP1B","AKNA","FYN","IFITM2","PTGDR","SAMD3","SYNE2","ABI3","PTPN4","RUNX3","GIMAP7","ARL4C","HLA-E","EFHD2","IRF1","FCRL6","GPATCH8","LPCAT1","SUN2","AOAH","DENND2D","MBP","TPST2","ETS1","GNG2","AREG","TMEM2","PRMT2","TBC1D10C","C5orf56","IL2RG","PVRIG","IER2","HLA-C","SIPA1","RAC2","LITAF","C9orf142","SYTL1","PTGER2","HCST","LBH","PIK3IP1","UBE2F","PPP1R18","HLA-A","RNF166","RASSF1","CYTIP","LIMD2","SCGB3A1","C12orf75","MALAT1","LOC100996255","PIP4K2A","SCGB1A1","YPEL3","SLC9A3R1","GPR65","LYAR","EVL","ICAM2","PRPF38B","CDC42SE1","HLA-B","CELF2","SELPLG","CALM1","MYO1F","LY6E","CD99","SIGIRR","RHOC","CNOT6L","EIF3G","HLA-F","ARPC5L","CFLAR","AAK1","RPA2","DOK2","RNF126","CLEC2B","RNF213","SFTPC","TCF25","HDDC2","BTG1","HMOX2","ARHGEF1","GYPC","SLC38A1","C1orf56","RBM39","DHRS7","VAMP2","IKZF1","CCDC69","PLEK","PCED1B-AS1","FCMR","SEPT7","POLR3GL","CD53","PFN1","TSC22D4","GIMAP1","HMGN3","SLA","FLJ10038","BIN1","TRAF3IP3","GIMAP4","CD164","CD47","CYTH1","PPP1CA","ARGLU1","IDI1","BTG2","KLF2","APOBEC3G","FKBP11","PSMB10","PSME1","IFI16","IQGAP2","ARID5A","PRDM1","SRSF11","ARHGAP30","PNRC1","STK17A"
"A molecular cell atlas of the human lung from single cell RNA sequencing",33208946,"Proliferating NK/T_PMID_33208946","T cell","STMN1","HMGB2","HIST1H4C","MKI67","KIAA0101","TUBA1B","TYMS","BIRC5","PCNA","SMC4","CKS1B","NUSAP1","HMGN2","CENPF","UBE2C","ASPM","H2AFZ","TOP2A","HMGB1","H2AFV","RRM2","CKS2","GZMA","DEK","PTTG1","TK1","DUT","NUCB2","NUCKS1","H2AFX","CALM3","CARHSP1","ARL6IP1","AURKB","MCM7","DNAJC9","ASF1B","TMEM106C","GNLY","CDT1","ZWINT","IDH2","SMC2","ANP32B","ANP32E","TPX2","CDK1","CDKN2C","KLRF1","CDKN3","CLSPN","CENPM","SPON2","CENPA","UBE2T","USP1","NKG7","CDCA5","KIF22","HIST1H1D","ATAD2","DDX39A","SKA2","FGFBP2","RALY","SAE1","PTMA","MAD2L1","CKAP2L","SAC3D1","MZT2B","GZMB","KIFC1","EZH2","HMMR","CDKN2D","SMC3","GTSE1","C12orf75","SYNE2","UBB","SLBP","KLRD1","HMGN1","HOPX","H1FX","MXD3","IFI16","EBP","PRF1","SPC25","TMPO","CD247","CCNA2","FEN1","PSIP1","SNRPB","CCDC34","CENPU","UBE2S","CDC25B","CDC20","RPA3","IGFBP7","DLGAP5","RANBP1","BUB3","NUF2","LIG1","TACC3","CCNB2","MAD2L2","UHRF1","E2F1","CENPK","DTYMK","DNMT1","KIF20B","RAD21","CD7","COX8A","MCM3","SIVA1","CDCA8","LOC100506844","FAM64A","GGH","FAM111A","LSM4","CTSW","TCF19","C9orf142","LYAR","CENPN","YEATS4","PRC1","RRM1","DHFR","BANF1","KPNA2","HIRIP3","RAC2","KIF15","FAM111B","CENPE","PFN1","CENPH","RAN","ANKRD36C","IFITM1","KIF23","PHF19","PKMYT1","SET","MZT2A","HIST1H1C","PSMC3","MYOM2","LOC374443","CDCA4","NCR3","SLC25A5","YWHAQ","XCL2","SRSF10","CDCA3","SGOL2","RAD51AP1","HNRNPA2B1","ITGB1BP1","HNRNPR","CCDC167","KIF2C","TROAP","NDC80","ACTG1","CD99","HP1BP3","CEP55","RACGAP1","CALM1","RNF167","DCTN3","NASP","WDR76","YPEL1","NUDT1","SRSF3","NCAPH2","HSPB11","CMC1","HNRNPF","HN1","KIF11","AURKA","PRR11","CENPW","CDK2AP2","ITGAE","RHEB"
"A molecular cell atlas of the human lung from single cell RNA sequencing",33208946,"Basophil/Mast 1_PMID_33208946","Mast cell","TPSB2","TPSAB1","CPA3","MS4A2","HPGDS","VWA5A","LTC4S","SLC18A2","GATA2","CLU","RGS13","KIT","JUN","MAOB","HPGD","LAPTM4A","C1orf186","RGS2","RGS1","CD69","CD9","FOS","SAMSN1","IL1RL1","SDPR","HDC","TDRD3","CALB2","IER2","SIGLEC17P","PTGS1","TUBA1A","LOC284454","CD63","FCER1A","EGR1","CPM","CTNNBL1","PEBP1","ANXA1","CAPG","RAB27B","PPP1R15A","BATF","LMO4","AREG","LXN","BACE2","CNRIP1","NTM","PRDX6","RENBP","SLC26A2","MLPH","VIM","ARHGAP18","SMYD3","TIMP3","SLC45A3","NDUFA4","ITM2C","SEPT2","SLC44A1","PLIN2","H3F3B","C5orf30","CTTNBP2","MSRA","HSP90AB1","SOCS1","STMN1","ALOX5AP","STXBP6","LMNA","FOSB","BEX4","SNHG8","ACSL4","BTG2","CD44","GLUL","PROCR","RHBDD2","ALDH1A1","PLGRKT","RALB","PTMA","TSC22D3","CKLF","CRBN","NFKBIA","SCGB1A1","FAM212A","CD82","TNFSF10","BTK","PMP22","DUSP1","PKIG","NDST2","ALOX5","ADRB2","FOXP1","PHF20","EIF4A2","LAT2","STX3","GMPR","GRAP2","ACOT7","FAM46A","ASRGL1","SCGB3A1","BIRC3","LPCAT2","TESPA1","TSC22D1","LYL1","ASAH1","NFKBIZ","CHN2","RAC2","AKAP13","NSMCE1","GNPTAB","PRKAR1A","SQSTM1","JUNB","BHLHE40","CNIH1","AP2M1","CATSPER1","RAB32","DDAH2","ATP6V1F","RGS10","TMEM176B","RAB34","ARL2","SWAP70","CD59","ACER3","SMIM3","MYADM","EIF3E","ANXA4","IDI1","RHOH","DUSP10","HMGN1","C10orf128","ARHGEF6","VMP1","ANXA7","CYSTM1","RNF130","MORF4L1","ESD","MBOAT7","SFTPC","EIF3D","DYNLL1","MAGED2","LAT","ITM2A","IL18","CAST","BST2","OSBPL8","SRGN","DAD1","CHPT1","DNAJC19","ZFP36","CLIC1","EXOSC8","UBB","MAPRE1","SPINT2","CNBP","CIRBP","CSDE1","FLOT1","FXYD5","DBI","DNAJC9","PRKX","TCEAL4","RSL24D1","CCNI","RTFDC1","MPP1","BNIP3L","SNX5","PRDX1","EPB41L4A-AS1","PRNP","ZBTB20","ARHGDIB","SYTL3"
